Time,lng,lat,NPMLeft,NPMRight,HeadingAngle,TraceAngle,ShipSpeed,RudderAngle
9:38,119.672261,39.857848,36.000000,12.000000,128.458000,128.458000,7.029733,3.500419
9:38,119.672325,39.857809,84.000000,8.000000,128.587000,128.587000,7.060849,3.462097
9:38,119.672390,39.857769,36.000000,8.000000,128.907000,128.907000,7.004706,3.348876
9:38,119.672454,39.857730,52.000000,16.000000,129.297000,129.297000,7.035317,1.196289
9:38,119.672511,39.857694,28.000000,12.000000,129.508000,129.508000,6.992975,1.183817
9:38,119.672575,39.857654,60.000000,8.000000,129.899000,129.899000,7.026845,1.181422
9:38,119.672639,39.857614,16.000000,12.000000,129.905000,129.905000,7.046486,1.157657
9:38,119.672703,39.857574,44.000000,8.000000,130.024000,130.024000,7.094130,1.182914
9:38,119.672768,39.857534,24.000000,12.000000,129.967000,129.967000,7.104063,1.170448
9:38,119.672833,39.857493,48.000000,12.000000,129.800000,129.800000,7.132812,1.179677
9:38,119.672897,39.857451,28.000000,8.000000,130.126000,130.126000,7.149459,1.199910
9:38,119.672961,39.857411,24.000000,8.000000,130.323000,130.323000,7.122251,1.186175
9:38,119.673025,39.857369,20.000000,12.000000,130.533000,130.533000,7.125012,1.200868
9:38,119.673083,39.857333,28.000000,12.000000,130.326000,130.326000,7.098127,1.168024
9:38,119.673147,39.857292,24.000000,12.000000,130.397000,130.397000,7.087063,1.178998
9:38,119.673211,39.857251,20.000000,12.000000,130.508000,130.508000,7.135626,1.169335
9:38,119.673275,39.857210,20.000000,12.000000,130.130000,130.130000,7.073340,1.157682
9:38,119.673339,39.857169,28.000000,12.000000,130.130000,130.130000,7.081991,1.160623
9:38,119.673403,39.857129,32.000000,12.000000,129.667000,129.667000,7.077796,3.557111
9:39,119.673468,39.857088,20.000000,16.000000,129.270000,129.270000,7.088305,3.578745
9:39,119.673533,39.857049,24.000000,12.000000,129.211000,129.211000,7.084352,3.586514
9:39,119.673598,39.857009,16.000000,12.000000,128.512000,128.512000,7.095402,3.531542
9:39,119.673658,39.856974,32.000000,20.000000,128.288000,128.288000,7.102542,3.554020
9:39,119.673723,39.856935,52.000000,12.000000,127.965000,127.965000,7.131726,3.535878
9:39,119.673789,39.856895,28.000000,12.000000,127.960000,127.960000,7.129899,3.571903
9:39,119.673855,39.856856,56.000000,16.000000,128.053000,128.053000,7.055884,3.574690
9:39,119.673921,39.856818,24.000000,12.000000,128.180000,128.180000,7.090777,3.556840
9:39,119.673986,39.856779,32.000000,8.000000,128.507000,128.507000,7.030225,3.539360
9:39,119.674052,39.856740,12.000000,8.000000,128.422000,128.422000,7.078944,3.535017
9:39,119.674111,39.856706,48.000000,16.000000,128.621000,128.621000,7.079406,3.563953
9:39,119.674178,39.856667,24.000000,12.000000,128.162000,128.162000,7.143861,1.576897
9:39,119.674244,39.856628,28.000000,16.000000,128.294000,128.294000,7.180341,1.072248
9:39,119.674311,39.856589,12.000000,8.000000,128.126000,128.126000,7.172395,1.006697
9:39,119.674377,39.856549,36.000000,12.000000,128.519000,128.519000,7.187672,1.040461
9:39,119.674443,39.856509,56.000000,12.000000,128.890000,128.890000,7.113381,1.024612
9:39,119.674509,39.856470,16.000000,12.000000,129.465000,129.465000,7.106082,1.011688
9:39,119.674574,39.856430,60.000000,8.000000,129.711000,129.711000,7.034297,1.028439
9:39,119.674632,39.856394,24.000000,8.000000,129.885000,129.885000,7.058634,1.026234
9:39,119.674696,39.856354,24.000000,8.000000,130.143000,130.143000,7.011494,1.187797
9:39,119.674760,39.856315,20.000000,12.000000,129.883000,129.883000,7.047592,3.876913
9:39,119.674825,39.856276,24.000000,8.000000,129.809000,129.809000,7.012088,3.892679
9:39,119.674890,39.856237,52.000000,8.000000,128.987000,128.987000,7.021864,3.862948
9:39,119.674954,39.856199,52.000000,8.000000,128.866000,128.866000,7.044890,3.830668
9:39,119.675020,39.856160,44.000000,12.000000,128.380000,128.380000,7.060367,3.852007
9:39,119.675079,39.856126,24.000000,12.000000,127.908000,127.908000,7.052707,1.839136
9:39,119.675145,39.856086,24.000000,8.000000,128.069000,128.069000,7.065255,1.241779
9:39,119.675210,39.856048,48.000000,8.000000,127.965000,127.965000,7.088471,1.227552
9:39,119.675275,39.856008,8.000000,12.000000,128.401000,128.401000,7.068926,1.217047
9:39,119.675340,39.855969,28.000000,16.000000,128.856000,128.856000,7.101480,1.205474
9:39,119.675406,39.855930,28.000000,12.000000,129.273000,129.273000,7.090233,1.231420
9:39,119.675471,39.855890,16.000000,8.000000,129.498000,129.498000,7.089436,1.238123
9:39,119.675537,39.855851,28.000000,8.000000,129.402000,129.402000,7.098786,1.219031
9:39,119.675595,39.855816,28.000000,20.000000,129.376000,129.376000,7.066382,1.217020
9:39,119.675660,39.855776,0.000000,12.000000,129.089000,129.089000,7.109532,3.105264
9:39,119.675726,39.855737,4.000000,8.000000,129.072000,129.072000,7.088325,3.517209
9:39,119.675791,39.855697,32.000000,8.000000,128.963000,128.963000,7.093402,3.517758
9:39,119.675856,39.855658,24.000000,12.000000,128.854000,128.854000,7.076961,3.544982
9:39,119.675921,39.855619,12.000000,12.000000,128.801000,128.801000,7.083563,3.517577
9:39,119.675987,39.855579,12.000000,8.000000,128.621000,128.621000,7.075593,3.518184
9:39,119.676046,39.855545,24.000000,8.000000,128.123000,128.123000,7.048607,3.497672
9:39,119.676112,39.855506,12.000000,12.000000,128.263000,128.263000,7.122405,3.516929
9:39,119.676178,39.855468,36.000000,12.000000,128.268000,128.268000,7.084108,3.479675
9:39,119.676243,39.855428,8.000000,16.000000,128.569000,128.569000,7.107033,3.355726
9:39,119.676309,39.855389,8.000000,8.000000,128.893000,128.893000,7.103150,1.088311
9:39,119.676375,39.855350,16.000000,12.000000,129.090000,129.090000,7.116245,1.090712
9:39,119.676440,39.855310,68.000000,12.000000,129.401000,129.401000,7.116477,1.077502
9:39,119.676506,39.855271,16.000000,12.000000,129.361000,129.361000,7.146998,1.087296
9:39,119.676571,39.855230,40.000000,8.000000,129.632000,129.632000,7.118811,1.074600
